"","iso3c","country","region","income","year","population","overall_score","data_use_score","data_services_score","data_products_score","data_sources_score","data_infrastructure_score"
"86","BOL","Bolivia","Latin America & Caribbean","Lower middle income",2023,12388571,72.5183333333333,100,66.9333333333333,81.175,59.4833333333333,55
"87","VNM","Viet Nam","East Asia & Pacific","Lower middle income",2023,98858950,72.2941666666667,100,69.4333333333333,89.4375,52.6,50
"88","PAN","Panama","Latin America & Caribbean","High income",2023,4468087,72.2795833333333,80,65.7333333333333,86.85625,68.8083333333333,60
"89","UGA","Uganda","Sub-Saharan Africa","Low income",2023,48582334,71.9575,100,65.7666666666667,78.9125,40.1083333333333,75
"90","BGD","Bangladesh","South Asia","Lower middle income",2023,172954319,70.8120833333333,80,61.6666666666667,83.91875,58.475,70
"91","KEN","Kenya","Sub-Saharan Africa","Lower middle income",2023,55100586,70.6379166666667,90,62.3333333333333,84.38125,46.475,70
"92","TZA","Tanzania","Sub-Saharan Africa","Lower middle income",2023,67438106,69.85125,90,70.7,83.35625,50.2,55
"93","ZWE","Zimbabwe","Sub-Saharan Africa","Lower middle income",2023,16665409,69.7325,100,67.0333333333333,83.3875,38.2416666666667,60
"94","BIH","Bosnia and Herzegovina","Europe & Central Asia","Upper middle income",2023,3210847,69.44625,70,63.8333333333333,75.55625,62.8416666666667,75
"95","NER","Niger","Sub-Saharan Africa","Low income",2023,27202843,68.90625,100,61.1333333333333,76.30625,42.0916666666667,65
"96","CIV","Cote d'Ivoire","Sub-Saharan Africa","Lower middle income",2023,28873034,68.88625,100,58.1,78.63125,42.7,65
"97","PAK","Pakistan","South Asia","Lower middle income",2023,240485658,68.5708333333333,90,61.9333333333333,81.2125,49.7083333333333,60
"98","MMR","Myanmar","East Asia & Pacific","Lower middle income",2023,54577997,68.5595833333333,90,67.5333333333333,77.65625,47.6083333333333,60
"99","GHA","Ghana","Sub-Saharan Africa","Lower middle income",2023,34121985,68.245,80,61.8,82.25,57.175,60
"100","BEN","Benin","Sub-Saharan Africa","Lower middle income",2023,13712828,68.0466666666667,90,69.4,75.325,40.5083333333333,65
"101","GMB","Gambia, The","Sub-Saharan Africa","Low income",2023,2773168,67.91875,90,65.9666666666667,86.36875,42.2583333333333,55
"102","JAM","Jamaica","Latin America & Caribbean","Upper middle income",2023,2825544,67.3720833333333,80,74.3333333333333,76.64375,60.8833333333333,45
"103","AZE","Azerbaijan","Europe & Central Asia","Upper middle income",2023,10112555,66.79625,80,36,73.55625,64.425,80
"104","QAT","Qatar","Middle East & North Africa","High income",2023,2716391,66.78625,80,63.4333333333333,66.20625,59.2916666666667,65
"105","TGO","Togo","Sub-Saharan Africa","Low income",2023,9053799,66.0958333333333,90,63.9333333333333,77.5125,39.0333333333333,60
"106","HND","Honduras","Latin America & Caribbean","Lower middle income",2023,10593798,65.8308333333333,90,64,84.4625,40.6916666666667,50
"107","MWI","Malawi","Sub-Saharan Africa","Low income",2023,20931751,65.5833333333333,90,62.1333333333333,81.775,49.0083333333333,45
"108","MDV","Maldives","South Asia","Upper middle income",2023,521021,65.2608333333333,70,64,72.6625,59.6416666666667,60
"109","BLZ","Belize","Latin America & Caribbean","Upper middle income",2023,410825,65.1283333333333,70,64.8666666666667,68.1,67.675,55
"110","LBR","Liberia","Sub-Saharan Africa","Low income",2023,5418377,65.06625,90,66.0333333333333,75.78125,33.5166666666667,60
"111","KHM","Cambodia","East Asia & Pacific","Lower middle income",2023,16944826,64.9766666666667,80,63.6333333333333,82.025,44.225,55
"112","LCA","St. Lucia","Latin America & Caribbean","Upper middle income",2023,180251,64.8308333333333,70,69.7333333333333,64.6625,64.7583333333333,55
"113","NPL","Nepal","South Asia","Lower middle income",2023,30896590,64.01875,80,63.4,80.89375,40.8,55
"114","SYC","Seychelles","Sub-Saharan Africa","High income",2023,119773,63.9979166666667,90,44.2333333333333,58.45625,57.3,70
"115","WSM","Samoa","East Asia & Pacific","Lower middle income",2023,225681,63.7745833333333,80,63,69.58125,46.2916666666667,60
"116","BWA","Botswana","Sub-Saharan Africa","Upper middle income",2023,2675352,63.29375,50,68.9,74.81875,62.75,60
"117","BRN","Brunei Darussalam","East Asia & Pacific","High income",2023,452524,63.20625,80,71.0333333333333,63.45625,51.5416666666667,50
"118","BTN","Bhutan","South Asia","Lower middle income",2023,787424,63.1054166666667,90,64.0333333333333,73.51875,42.975,45
"119","MLI","Mali","Sub-Saharan Africa","Low income",2023,23293698,63.0483333333333,100,60.8666666666667,69.275,40.1,45
"120","IRN","Iran, Islamic Rep.","Middle East & North Africa","Upper middle income",2023,89172767,62.9625,66.6,62.8,70.5125,69.9,45
"121","DZA","Algeria","Middle East & North Africa","Upper middle income",2023,45606480,62.6929166666667,80,57.8333333333333,75.50625,50.125,50
"122","BRB","Barbados","Latin America & Caribbean","High income",2023,281995,62.515,80,57.6333333333333,54.925,50.0166666666667,70
"123","ZMB","Zambia","Sub-Saharan Africa","Lower middle income",2023,20569737,62.5008333333333,90,61.1333333333333,79.0375,32.3333333333333,50
"124","MRT","Mauritania","Sub-Saharan Africa","Lower middle income",2023,4862989,62.4904166666667,90,63.2,72.06875,27.1833333333333,60
"125","KWT","Kuwait","Middle East & North Africa","High income",2023,4310108,62.4379166666667,60,63.1666666666667,67.43125,61.5916666666667,60
"126","AGO","Angola","Sub-Saharan Africa","Lower middle income",2023,36684202,62.2758333333333,80,60.7666666666667,72.8875,47.725,50
"127","TLS","Timor-Leste","East Asia & Pacific","Lower middle income",2023,1360596,62.1408333333333,80,61.1,64.5875,40.0166666666667,65
"128","SLE","Sierra Leone","Sub-Saharan Africa","Low income",2023,8791092,61.775,80,65.7333333333333,71.375,46.7666666666667,45
"129","TON","Tonga","East Asia & Pacific","Upper middle income",2023,107773,61.21,80,63.6,71.525,45.925,45
"130","SWZ","Eswatini","Sub-Saharan Africa","Lower middle income",2023,1210822,61.1925,80,55.6666666666667,77.6625,32.6333333333333,60
"131","LAO","Lao PDR","East Asia & Pacific","Lower middle income",2023,7633779,60.9004166666667,90,65.7333333333333,69.54375,44.225,35
"132","NGA","Nigeria","Sub-Saharan Africa","Lower middle income",2023,223804632,60.8970833333333,80,63.8333333333333,75.54375,35.1083333333333,50
"133","FJI","Fiji","East Asia & Pacific","Upper middle income",2023,936375,60.8316666666667,60,63.0666666666667,78.525,42.5666666666667,60
"134","MOZ","Mozambique","Sub-Saharan Africa","Low income",2023,33897354,60.7666666666667,70,59.7,71.95,42.1833333333333,60
"135","ETH","Ethiopia","Sub-Saharan Africa","Low income",2023,126527060,60.67375,80,64.5333333333333,78.79375,35.0416666666667,45
"136","CPV","Cabo Verde","Sub-Saharan Africa","Lower middle income",2023,598682,60.5241666666667,80,31.3333333333333,67.5625,68.725,55
"137","CHN","China","East Asia & Pacific","Upper middle income",2023,1410710000,59.50375,73.4,43.8,78.74375,41.575,60
"138","NAM","Namibia","Sub-Saharan Africa","Upper middle income",2023,2604172,58.6829166666667,60,62.8333333333333,71.78125,38.8,60
"139","CMR","Cameroon","Sub-Saharan Africa","Lower middle income",2023,28647293,58.4541666666667,60,65.2333333333333,76.9375,35.1,55
"140","OMN","Oman","Middle East & North Africa","High income",2023,4644384,58.2466666666667,70,46.9333333333333,60.425,63.875,50
"141","LBN","Lebanon","Middle East & North Africa","Lower middle income",2023,5353930,58.1895833333333,60,61.5666666666667,78.08125,51.3,40
"142","GUY","Guyana","Latin America & Caribbean","High income",2023,813834,58.0520833333333,80,62.7333333333333,71.16875,31.3583333333333,45
"143","LSO","Lesotho","Sub-Saharan Africa","Lower middle income",2023,2330318,58.0479166666667,80,29.7333333333333,69.73125,50.775,60
"144","IRQ","Iraq","Middle East & North Africa","Upper middle income",2023,45504560,57.7841666666667,80,64.5333333333333,70.3375,34.05,40
"145","SUR","Suriname","Latin America & Caribbean","Upper middle income",2023,623236,57.2075,46.6,67.1333333333333,62.6625,54.6416666666667,55
"146","AFG","Afghanistan","South Asia","Low income",2023,42239854,57.0895833333333,66.6,60,76.35625,27.4916666666667,55
"147","TCD","Chad","Sub-Saharan Africa","Low income",2023,18278568,56.3658333333333,83.4,59.2,72.0375,22.1916666666667,45
"148","TTO","Trinidad and Tobago","Latin America & Caribbean","High income",2023,1534937,56.1120833333333,60,61.3333333333333,68.19375,41.0333333333333,50
"149","ATG","Antigua and Barbuda","Latin America & Caribbean","High income",2023,94298,55.6475,60,60.2333333333333,63.8875,49.1166666666667,45
"150","PLW","Palau","East Asia & Pacific","High income",2023,18058,55.0654166666667,50,59.6666666666667,61.84375,53.8166666666667,50
"151","NIC","Nicaragua","Latin America & Caribbean","Lower middle income",2023,7046310,53.62375,60,61.1,66.19375,25.825,55
"152","MDG","Madagascar","Sub-Saharan Africa","Low income",2023,30325732,53.3983333333333,60,60.5666666666667,73.425,28,45
"153","STP","Sao Tome and Principe","Sub-Saharan Africa","Lower middle income",2023,231856,53.10125,60,61.0333333333333,63.60625,45.8666666666667,35
"154","COD","Congo, Dem. Rep.","Sub-Saharan Africa","Low income",2023,102262808,52.4391666666667,70,62.4333333333333,68.7375,21.025,40
"155","VCT","St. Vincent and the Grenadines","Latin America & Caribbean","Upper middle income",2023,103698,52.3870833333333,50,67.4333333333333,56.49375,48.0083333333333,40
"156","BHR","Bahrain","Middle East & North Africa","High income",2023,1485509,51.5791666666667,60,40.3666666666667,58.1125,59.4166666666667,40
"157","VUT","Vanuatu","East Asia & Pacific","Lower middle income",2023,334506,51.1025,56.6,59.0666666666667,70.0625,34.7833333333333,35
"158","BHS","Bahamas, The","Latin America & Caribbean","High income",2023,412623,49.7666666666667,60,27.6666666666667,49.3,36.8666666666667,75
"159","SOM","Somalia","Sub-Saharan Africa","Low income",2023,18143378,49.6883333333333,80,47.8666666666667,69.525,6.05,45
"160","GIN","Guinea","Sub-Saharan Africa","Lower middle income",2023,14190612,49.6558333333333,66.6,29.4333333333333,71.5375,25.7083333333333,55
"161","KIR","Kiribati","East Asia & Pacific","Lower middle income",2023,133515,48.9979166666667,50,59.8666666666667,69.90625,30.2166666666667,35
"162","AND","Andorra","Europe & Central Asia","High income",2023,80088,48.7966666666667,60,55.7666666666667,45.575,57.6416666666667,25
"163","TJK","Tajikistan","Europe & Central Asia","Lower middle income",2023,10143543,48.6083333333333,60,29.1666666666667,72.575,51.3,30
"164","BDI","Burundi","Sub-Saharan Africa","Low income",2023,13238559,47.2808333333333,70,29.8,74.1625,17.4416666666667,45
"165","CAF","Central African Republic","Sub-Saharan Africa","Low income",2023,5742315,47.26625,50,58.6333333333333,68.70625,13.9916666666667,45
"166","GRD","Grenada","Latin America & Caribbean","Upper middle income",2023,126183,47.0658333333333,70,22.0666666666667,59.1125,44.15,40
"167","GAB","Gabon","Sub-Saharan Africa","Upper middle income",2023,2436566,46.8291666666667,60,29.8333333333333,66.0875,33.225,45
"168","PNG","Papua New Guinea","East Asia & Pacific","Lower middle income",2023,10329931,45.9145833333333,60,59.2,68.60625,11.7666666666667,30
"169","GNB","Guinea-Bissau","Sub-Saharan Africa","Low income",2023,2150842,45.9041666666667,90,23.6666666666667,61.2375,14.6166666666667,40
"170","SDN","Sudan","Sub-Saharan Africa","Low income",2023,48109006,44.74,46.6,57.9333333333333,67,22.1666666666667,30
"171","COG","Congo, Rep.","Sub-Saharan Africa","Lower middle income",2023,6106869,43.1616666666667,50,29.4333333333333,64.425,21.95,50
"172","SLB","Solomon Islands","East Asia & Pacific","Lower middle income",2023,740424,42.935,30,59.2666666666667,63.45,16.9583333333333,45
"173","TUV","Tuvalu","East Asia & Pacific","Upper middle income",2023,11396,42.35875,50,59.7333333333333,62.31875,24.7416666666667,15
"174","DMA","Dominica","Latin America & Caribbean","Upper middle income",2023,73040,42.3425,60,28.2666666666667,54.0625,39.3833333333333,30
"175","KNA","St. Kitts and Nevis","Latin America & Caribbean","High income",2023,47755,42.1608333333333,60,33.3333333333333,45.2125,42.2583333333333,30
"176","NRU","Nauru","East Asia & Pacific","High income",2023,12780,42.1525,50,37.6333333333333,59.8125,43.3166666666667,20
"177","DJI","Djibouti","Middle East & North Africa","Lower middle income",2023,1136455,41.58,50,26.1333333333333,61.2,15.5666666666667,55
"178","MHL","Marshall Islands","East Asia & Pacific","Upper middle income",2023,41996,40.9816666666667,30,58.3333333333333,62.65,33.925,20
"179","HTI","Haiti","Latin America & Caribbean","Lower middle income",2023,11724763,39.6054166666667,50,18,61.69375,18.3333333333333,50
"180","VEN","Venezuela, RB","Latin America & Caribbean","Not classified",2023,28838499,39.3925,60,22.9,58.5375,30.525,25
"181","FSM","Micronesia, Fed. Sts.","East Asia & Pacific","Lower middle income",2023,115224,36.5079166666667,20,59.1333333333333,56.20625,22.2,25
"182","SYR","Syrian Arab Republic","Middle East & North Africa","Low income",2023,23227014,36.1779166666667,46.6,23.0666666666667,57.90625,13.3166666666667,40
"183","YEM","Yemen, Rep.","Middle East & North Africa","Low income",2023,34449825,35.6945833333333,36.6,28,68.50625,20.3666666666667,25
"184","GNQ","Equatorial Guinea","Sub-Saharan Africa","Upper middle income",2023,1714671,35.06125,30,26.2333333333333,60.63125,23.4416666666667,35
"185","LBY","Libya","Middle East & North Africa","Upper middle income",2023,6888388,33.0641666666667,20,58.9666666666667,53.7375,7.61666666666667,25
"186","TKM","Turkmenistan","Europe & Central Asia","Upper middle income",2023,6516100,30.7175,60,0.466666666666666,66.4375,11.6833333333333,15
"187","SSD","South Sudan","Sub-Saharan Africa","Low income",2023,11088796,27.51125,40,4.43333333333333,57.30625,5.81666666666667,30
"188","ASM","American Samoa","East Asia & Pacific","High income",2023,43914,NA,40,NA,18.475,NA,NA
"189","ABW","Aruba","Latin America & Caribbean","High income",2023,106277,NA,40,NA,27.54375,NA,NA
"190","BMU","Bermuda","North America","High income",2023,63489,NA,40,NA,27.24375,NA,NA
"191","VGB","British Virgin Islands","Latin America & Caribbean","High income",2023,31538,NA,40,NA,26.9625,NA,NA
"192","CYM","Cayman Islands","Latin America & Caribbean","High income",2023,69310,NA,30,NA,31.09375,NA,NA
"193","CHI","Channel Islands","Europe & Central Asia","High income",2023,175346,NA,40,NA,NA,NA,NA
"194","COM","Comoros","Sub-Saharan Africa","Lower middle income",2023,852075,NA,60,NA,71.275,NA,40
"195","CUB","Cuba","Latin America & Caribbean","Upper middle income",2023,11194449,NA,40,NA,69.3375,NA,NA
"196","CUW","Curacao","Latin America & Caribbean","High income",2023,147862,NA,60,NA,26.5625,NA,NA
"197","ERI","Eritrea","Sub-Saharan Africa","Low income",2023,3748901,NA,36.6,NA,51.45,NA,10
"198","FRO","Faroe Islands","Europe & Central Asia","High income",2023,53270,NA,40,NA,20.10625,NA,NA
"199","PYF","French Polynesia","East Asia & Pacific","High income",2023,308872,NA,40,NA,27.95625,NA,NA
"200","GIB","Gibraltar","Europe & Central Asia","High income",2023,32688,NA,40,NA,20.63125,NA,NA
"201","GRL","Greenland","Europe & Central Asia","High income",2023,56865,NA,40,NA,22.4375,NA,NA
"202","GUM","Guam","East Asia & Pacific","High income",2023,172952,NA,40,NA,24.8625,NA,NA
"203","HKG","Hong Kong SAR, China","East Asia & Pacific","High income",2023,7536100,NA,60,NA,48.71875,NA,NA
"204","IMN","Isle of Man","Europe & Central Asia","High income",2023,84710,NA,40,NA,13.81875,NA,NA
"205","PRK","Korea, Dem. People's Rep.","East Asia & Pacific","Low income",2023,26160821,NA,10,NA,50.39375,NA,NA
"206","XKX","Kosovo","Europe & Central Asia","Upper middle income",2023,1756374,NA,60,66.5,NA,50.2583333333333,85
"207","LIE","Liechtenstein","Europe & Central Asia","High income",2023,39584,NA,50,NA,39.10625,NA,NA
"208","MAC","Macao SAR, China","East Asia & Pacific","High income",2023,704149,NA,50,NA,36.20625,NA,NA
"209","MCO","Monaco","Europe & Central Asia","High income",2023,36297,NA,60,NA,43.925,NA,NA
"210","NCL","New Caledonia","East Asia & Pacific","High income",2023,267940,NA,60,NA,34.475,NA,NA
"211","MNP","Northern Mariana Islands","East Asia & Pacific","High income",2023,49796,NA,40,NA,21.25625,NA,NA
"212","PRI","Puerto Rico","Latin America & Caribbean","High income",2023,3205691,NA,40,NA,32.45,NA,NA
"213","SMR","San Marino","Europe & Central Asia","High income",2023,33642,NA,70,60.7,38.14375,NA,55
"214","SXM","Sint Maarten (Dutch part)","Latin America & Caribbean","High income",2023,41163,NA,30,NA,21.66875,NA,NA
"215","MAF","St. Martin (French part)","Latin America & Caribbean","High income",2023,32077,NA,40,NA,13.125,NA,NA
"216","TCA","Turks and Caicos Islands","Latin America & Caribbean","High income",2023,46062,NA,30,NA,31.68125,NA,NA
"217","VIR","Virgin Islands (U.S.)","Latin America & Caribbean","High income",2023,104917,NA,40,NA,21.15625,NA,NA
"218","POL","Poland","Europe & Central Asia","High income",2022,36821749,94.18875,100,97.3,82.21875,91.425,100
"219","FIN","Finland","Europe & Central Asia","High income",2022,5556106,93.7491666666667,100,96.4333333333333,84.1375,88.175,100
"220","DNK","Denmark","Europe & Central Asia","High income",2022,5903037,93.2033333333334,100,98.4666666666666,80.45,87.1,100
"221","SWE","Sweden","Europe & Central Asia","High income",2022,10486941,92.96125,100,96,83.33125,85.475,100
"222","SVN","Slovenia","Europe & Central Asia","High income",2022,2111986,92.7041666666667,100,97.5333333333333,83.7625,82.225,100
